,Period,Step,Payment,Interest,Principal,Balance,Growth Rate,cumPmt,cumInt,cumP,additional_payment
140,141,5,672.5190878154445,464.39906522706735,208.1200225883772,107414.52049035105,0.00025,84424.59373608184,71056.11422643297,13368.479509648878,1000
141,142,5,672.5190878154445,463.5010130748024,209.01807474064213,107205.5024156104,0.00025,85097.11282389727,71519.61523950777,13577.49758438952,1000
142,143,5,672.5190878154445,462.5990857659901,209.92000204945447,106995.58241356094,0.00025,85769.63191171271,71982.21432527376,13787.417586438974,1000
143,144,5,672.5190878154445,461.6932665790643,210.82582123638025,106784.75659232456,0.00025,86442.15099952815,72443.90759185283,13998.243407675354,1000
144,145,6,699.2152769635256,460.78353872030453,238.4317382432211,106546.32485408134,0.00025,87141.36627649168,72904.69113057313,14236.675145918576,1000
145,146,6,699.2152769635256,459.7546894388441,239.46058752468156,106306.86426655666,0.00025,87840.58155345521,73364.44582001198,14476.135733443258,1000
146,147,6,699.2152769635256,458.721400602265,240.49387636126062,106066.3703901954,0.00025,88539.79683041874,73823.16722061425,14716.629609804519,1000
147,148,6,699.2152769635256,457.6836530535828,241.53162390994282,105824.83876628545,0.00025,89239.01210738227,74280.85087366783,14958.161233714462,1000
148,149,6,699.2152769635256,456.6414275531495,242.5738494103761,105582.26491687508,0.00025,89938.2273843458,74737.49230122098,15200.735083124837,1000
149,150,6,699.2152769635256,455.59470477829655,243.6205721852291,105338.64434468985,0.00025,90637.44266130932,75193.08700599927,15444.355655310066,1000
150,151,6,699.2152769635256,454.54346532297666,244.67181164054898,105093.9725330493,0.00025,91336.65793827285,75647.63047132225,15689.027466950614,1000
151,152,6,699.2152769635256,453.48768969740445,245.7275872661212,104848.24494578317,0.00025,92035.87321523638,76101.11816101965,15934.755054216736,1000
152,153,6,699.2152769635256,452.42735832769444,246.7879186358312,104601.45702714733,0.00025,92735.08849219991,76553.54551934735,16181.542972852567,1000
153,154,6,699.2152769635256,451.36245155549875,247.8528254080269,104353.6042017393,0.00025,93434.30376916344,77004.90797090284,16429.395798260593,1000
154,155,6,699.2152769635256,450.29294963764215,248.9223273258835,104104.68187441342,0.00025,94133.51904612697,77455.20092054049,16678.318125586477,1000
155,156,6,699.2152769635256,449.2188327457565,249.99644421776912,103854.68543019565,0.00025,94832.7343230905,77904.41975328625,16928.314569804246,1000
156,157,6,699.2152769635256,448.1400809659127,251.07519599761292,103603.61023419803,0.00025,95531.94960005402,78352.55983425216,17179.389765801858,1000
157,158,6,699.2152769635256,447.0566742982517,252.15860266527392,103351.45163153275,0.00025,96231.16487701755,78799.6165085504,17431.54836846713,1000
158,159,6,699.2152769635256,445.9685926566139,253.24668430691173,103098.20494722584,0.00025,96930.38015398108,79245.58510120702,17684.795052774043,1000
159,160,6,699.2152769635256,444.8758158681662,254.3394610953594,102843.86548613048,0.00025,97629.59543094461,79690.46091707518,17939.1345138694,1000
